0,0.74041,
1,0.754288,
2,0.730088,
3,0.729105,
4,0.751089,
5,0.728999,
6,0.744333,
7,0.736159,
8,0.764486,
9,0.761737,
10,0.760588,
11,0.769038,
12,0.776289,
13,0.757927,
14,0.761085,
15,0.777733,
16,0.776585,
17,0.784489,
18,0.747007,
19,0.783268,
20,0.777246,
21,0.758584,
22,0.779665,
23,0.77148,
24,0.674993,
25,0.569584,
26,0.616227,
27,0.615947,
28,0.663472,
29,0.637736,
30,0.573087,
31,0.594345,
32,0.755269,
33,0.72462,
34,0.733324,
35,0.570563,
36,0.599502,
37,0.682639,
38,0.664671,
39,0.557841,
40,0.755552,
41,0.726314,
42,0.711705,
43,0.532406,
44,0.514246,
45,0.673717,
46,0.657439,
47,0.491663,
48,0.751177,
49,0.756385,
50,0.743898,
51,0.751763,
52,0.73477,
53,0.751625,
54,0.722336,
55,0.744821,
56,0.765906,
57,0.739589,
58,0.766955,
59,0.753831,
60,0.751611,
61,0.728775,
62,0.754544,
63,0.749527,
64,0.709826,
65,0.715702,
66,0.637382,
67,0.694852,
68,0.709473,
69,0.569751,
70,0.698917,
71,0.65778,
72,0.718414,
73,0.64218,
74,0.715615,
75,0.701776,
76,0.715744,
77,0.696021,
78,0.573204,
79,0.648228,
