0,0.231936,
1,0.294113,
2,0.278724,
3,0.273135,
4,0.249854,
5,0.266366,
6,0.396137,
7,0.262417,
8,0.243877,
9,0.245552,
10,0.285368,
11,0.243068,
12,0.247592,
13,0.274234,
14,0.252941,
15,0.249625,
16,0.248028,
17,0.246202,
18,0.246471,
19,0.252772,
20,0.253687,
21,0.243363,
22,0.259914,
23,0.257824,
24,0.269123,
25,0.400563,
26,0.252557,
27,0.258256,
28,0.236059,
29,0.294391,
30,0.298653,
31,0.268531,
32,0.316249,
33,0.308531,
34,0.255356,
35,0.285552,
36,0.294096,
37,0.251751,
38,0.301247,
39,0.270952,
40,0.247658,
41,0.261607,
42,0.264833,
43,0.251434,
44,0.255896,
45,0.256861,
46,0.26144,
47,0.257175,
48,0.240879,
49,0.310111,
50,0.285014,
51,0.279248,
52,0.250781,
53,0.276377,
54,0.272093,
55,0.262344,
56,0.233472,
57,0.275831,
58,0.231759,
59,0.233081,
60,0.229336,
61,0.262659,
62,0.367511,
63,0.221125,
64,0.239452,
65,0.228717,
66,0.293774,
67,0.233356,
68,0.215148,
69,0.34876,
70,0.265494,
71,0.216356,
72,0.233187,
73,0.271569,
74,0.292214,
75,0.273764,
76,0.243172,
77,0.276695,
78,0.270685,
79,0.264991,
